,frameNo,topLeft,bottomRight
0,205,"(959, 0)","(1277, 253)"
0,206,"(956, 0)","(1274, 253)"
0,206,"(956, 0)","(1274, 253)"
0,206,"(237, 150)","(555, 403)"
0,206,"(956, 0)","(1274, 253)"
0,206,"(956, 0)","(1274, 253)"
0,206,"(956, 0)","(1274, 253)"
0,207,"(956, 0)","(1276, 255)"
0,207,"(956, 0)","(1276, 255)"
0,207,"(237, 150)","(557, 405)"
0,207,"(956, 0)","(1276, 255)"
0,207,"(956, 0)","(1276, 255)"
0,207,"(956, 0)","(1276, 255)"
0,208,"(956, 0)","(1276, 255)"
0,208,"(956, 0)","(1276, 255)"
0,208,"(165, 120)","(485, 375)"
0,208,"(956, 0)","(1276, 255)"
0,208,"(956, 0)","(1276, 255)"
0,208,"(956, 0)","(1276, 255)"
0,209,"(952, 0)","(1274, 257)"
0,209,"(952, 0)","(1274, 257)"
0,209,"(229, 146)","(551, 403)"
0,209,"(952, 0)","(1274, 257)"
0,209,"(952, 0)","(1274, 257)"
0,209,"(952, 0)","(1274, 257)"
0,210,"(944, 0)","(1266, 257)"
0,210,"(944, 0)","(1266, 257)"
0,210,"(149, 120)","(471, 377)"
0,210,"(944, 0)","(1266, 257)"
0,210,"(944, 0)","(1266, 257)"
0,210,"(944, 0)","(1266, 257)"
0,211,"(942, 0)","(1266, 259)"
0,211,"(942, 0)","(1266, 259)"
0,211,"(205, 122)","(529, 381)"
0,211,"(942, 0)","(1266, 259)"
0,211,"(942, 0)","(1266, 259)"
0,211,"(942, 0)","(1266, 259)"
0,212,"(939, 0)","(1263, 259)"
0,212,"(939, 0)","(1263, 259)"
0,212,"(204, 122)","(528, 381)"
0,212,"(939, 0)","(1263, 259)"
0,212,"(939, 0)","(1263, 259)"
0,212,"(939, 0)","(1263, 259)"
0,213,"(937, 0)","(1263, 261)"
0,213,"(937, 0)","(1263, 261)"
0,213,"(212, 122)","(538, 383)"
0,213,"(937, 0)","(1263, 261)"
0,213,"(937, 0)","(1263, 261)"
0,213,"(937, 0)","(1263, 261)"
0,214,"(928, 0)","(1254, 261)"
0,214,"(928, 0)","(1254, 261)"
0,214,"(215, 123)","(541, 384)"
0,214,"(928, 0)","(1254, 261)"
0,214,"(928, 0)","(1254, 261)"
0,214,"(928, 0)","(1254, 261)"
0,215,"(919, 0)","(1247, 263)"
0,215,"(919, 0)","(1247, 263)"
0,215,"(211, 122)","(539, 385)"
0,215,"(919, 0)","(1247, 263)"
0,215,"(919, 0)","(1247, 263)"
0,215,"(919, 0)","(1247, 263)"
0,216,"(914, 0)","(1242, 263)"
0,216,"(914, 0)","(1242, 263)"
0,216,"(202, 120)","(530, 383)"
0,216,"(914, 0)","(1242, 263)"
0,216,"(914, 0)","(1242, 263)"
0,216,"(914, 0)","(1242, 263)"
0,217,"(911, 0)","(1241, 265)"
0,217,"(911, 0)","(1241, 265)"
0,217,"(196, 120)","(526, 385)"
0,217,"(911, 0)","(1241, 265)"
