country,HPC,manufacture,year
Japan,T2K Open Supercomputer (Todai Combined Cluster) - Hitachi opteron QC 2.3 GHz Myrinet 10G,Hitachi,2013
Russia,Cluster Platform 3000 BL 2x220,HPE,2013
Italy,Eurora - Eurotech Aurora HPC 10-20,Eurotech,2013
Japan,HA8000-tc/HT225,Hitachi,2013
United States,Edge - Appro GreenBlade Cluster,Cray/HPE,2013
Russia,SKIF Aurora - SKIF Aurora Platform - Intel Xeon X5680,RSC Group,2013
Spain,Cluster Platform 3000 BL460c Gen8,HPE,2013
Germany,VIP - Power 575,IBM,2013
China,xSeries x3650M2 Cluster Xeon QC,IBM,2013
China,xSeries x3650M2 Cluster,IBM,2013
Japan,RIKEN Intergrated Cluster of Clusters,Fujitsu,2013
Israel,BladeCenter HS22 Cluster (WM),IBM,2013
Germany,btrzx3 - Saxonid 6300,MEGWARE,2013
Sweden,Cluster Platform 3000 BL2x220,HPE,2013
United States,Cluster Platform SL170s,HPE,2013
United States,Chinook - Cluster Platform 4000 DL185G5,HPE,2013
United States,Palmetto - PE1950/SF X2200/iDPx/IBM dx340/HP DL165 Intel 53xx/54xx 2.33,Dell/Sun/IBM,2013
United States,Kraken XT5 - Cray XT5-HE Opteron Six Core 2.6 GHz,Cray/HPE,2013
United States,Intrepid - Blue Gene/P Solution,IBM,2013
United States,Dawn - Blue Gene/P Solution,IBM,2013
Germany,LOEWE-CSC - Supermicro Cluster,Clustervision/Supermicro,2013
Austria,VSC-2 - Megware Saxonid 6100,MEGWARE,2013
Germany,Cray XC30,Cray/HPE,2013
United States,Cluster Platform BL460c/280c G7,HPE,2013
India,EKA - Cluster Platform 3000 BL460c,HPE,2013
China,BladeCenter HS22 Cluster (WM),IBM,2013
